Full Name,Email,Password (for new users),Match Score,Experience,Education,User Type
Aarav Deshmukh690,aarav.deshmukh690@gmail.com,Cxuw3PZpyO,100.0,0,Bachelor's Degree,NEW_USER
Aarav Deshmukh683,aarav.deshmukh683@gmail.com,xNnXOxlE2@,100.0,0,Bachelor's Degree,NEW_USER
Aarav Jadhav160,aarav.jadhav160@gmail.com,Ml4zkM2f7$,100.0,0,Bachelor's Degree,NEW_USER
Aarav Jadhav498,aarav.jadhav498@gmail.com,p@H0R$of8G,100.0,0,Bachelor's Degree,NEW_USER
Aarav Joshi371,aarav.joshi371@gmail.com,$jD@hZWQm9,100.0,0,Bachelor's Degree,NEW_USER
Aarav Pawar214,aarav.pawar214@gmail.com,TfR7JXIibl,100.0,0,Bachelor's Degree,NEW_USER
Aarav Sharma266,aarav.sharma266@gmail.com,eQpUvHEjrR,100.0,0,Bachelor's Degree,NEW_USER
Aditya Joshi261,aditya.joshi261@gmail.com,VqhhY0R@tR,100.0,0,Bachelor's Degree,NEW_USER
Aditya Kulkarni210,aditya.kulkarni210@gmail.com,GCIUKNiHEE,100.0,0,Bachelor's Degree,NEW_USER
Arjun Deshmukh646,arjun.deshmukh646@gmail.com,uXgw8xP4PD,100.0,0,Bachelor's Degree,NEW_USER

# SUMMARY #
# Total Shortlisted: 10
# New Users: 10
# Existing Users: 0
